slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),color,unit,Notes
core_icds_anganwadi_services,Core Integrated Child Development Services(ICDS)/ Anganwadi services,15767.2,16400.8,16683.6,15489.3,14850.0,14735.6,14632.3,16745.2,16195.2,19334.9,#e4af1b,Rs. Crore,i) includes budgets for National Nutrition Mission; ii) Name changed from FY 2017-18 onwards.
national_creche_scheme,National Creche Scheme,106.0,100.0,97.7,133.0,150.0,150.0,124.6,200.0,65.0,128.4,#E8B837,Rs. Crore,
igmsy_mbp,Pradhan Mantri Matru Vandana Yojana (PMMVY)/IGMSY/Maternity Benefit Programme (MBP),82.1,231.9,343.1,233.4,400.0,634.0,75.5,2700.0,2594.6,2400.0,#E8B838,Rs. Crore,
sabla,SABLA,503.6,603.0,622.4,475.2,460.0,460.0,482.0,460.0,460.0,500.0,#E8B839,Rs. Crore,
food_subsidy,Food subsidy,85000.0,92000.0,117671.2,139419.0,134834.6,135173.0,"1,10,173.0","1,45,338.6","1,40,281.7","1,69,323.0",#E8B840,Rs. Crore,
nrhm_nuhm,National Health Mission (NHM),18046.7,18633.8,19751.5,18971.5,19037.0,20037.0,22869.7,27131.2,31292.1,30634.0,#E8B841,Rs. Crore,"NHM from FY 2017-18 includes NRHM, NUHM, tertiary care programme, and Human resources for health and medical"
mid_day_meal,Mid-day Meal (MDM),10761.4,10917.6,10523.5,9144.89,9700.0,9700.0,9475.4,10000.0,10000.0,10500.0,#E8B842,Rs. Crore,education
rmsa,Rashtriya Madhyamik Shiksha Abhiyan (RMSA),3172.0,2679.0,3398.0,3562.61,3700.0,3700.0,3697.5,3830.0,3914.9,4213.0,#E8B843,Rs. Crore,
nrdwp,National Rural Driniking Water Programme (NRDWP),10489.9,9691.3,9242.8,4369.6,5000.0,6000.0,5980.0,6050.0,7050.0,7000.0,#E8B844,Rs. Crore,
sbm_rural_urban,Swachh Bharat Mission (Rural + Urban),2473.5,2243.5,3700.5,7469.2,11300.0,12800.0,12619.3,16248.3,19248.3,17843.1,#E8B845,Rs. Crore,
mgnrega,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),30273.0,32994.1,32976.7,37340.7,38500.0,47499.0,48215.0,48000.0,55000.0,55000.0,#E8B846,Rs. Crore,
nlm_nrlm_nulm,National Livelihoods Mission (NRLM + NULM),2195.4,2022.1,2116.3,2783.1,3325.0,3334.0,3486.4,4849.0,4699.0,6060.0,#E8B847,Rs. Crore,
nsap,National Social Assistance Programme (NSAP),7825.0,9406.0,7083.7,8616.4,9500.0,9500.0,8854.1,9500.0,8744.6,9975.0,#E8B848,Rs. Crore,
nfsm,National Food Security Mission (NFSM),1722.9,2027.0,1872.7,1162.3,1700.0,1280.0,1286.0,1720.0,1400.0,1690.7,#E8B849,Rs. Crore,
nmsa,National Mission for Sustainable Agriculture (NMSA),0.0,0.0,1268.4,685.9,1062.5,880.0,669.6,1226.0,824.1,1237.1,#E8B850,Rs. Crore,"The schemes considered for allocations from FY 2015-16 onwards are as follows: Damodar Valley Corporation, National"
nmoop,National Mission on Oilseeds and Oil Palm (NMOOP),398.5,555.8,316.3,305.8,502.7,376.0,327.5,403.0,328.1,400.0,#E8B851,Rs. Crore,"Project on Organic Farming, Organic Value Chain Development for NE Region, National Project on Soil Health and Fertility;"
rkvy,Rashtriya Krishi Vikas Yojana (RKVY),8400.0,7052.5,8443.2,3940.0,5400.0,3550.0,3892.0,4750.0,3050.0,3600.0,#E8B852,Rs. Crore,"Rainfed Area Development and Climate Change,"
white_revolution,White Revolution,1434.71,1449.0,999.5,937.1,1138.0,1311.8,1309.2,1634.0,1633.0,2219.9,#E8B853,Rs. Crore,Paramparagat Krishi Vikas Yojana
blue_revolution,Blue Revolution,329.81,347.5,388.0,200.0,246.8,392.3,387.8,400.7,301.7,642.6,#E8B854,Rs. Crore,", and National Project on Agro Forestry"
national_horticulture_mission,National Horticulture Mission,1089.3,1809.3,1954.7,1696.5,1620.0,1660.0,1493.1,2320.0,2190.0,2536.0,#E8B855,Rs. Crore,
total_nutrition,Total Nutrition,200071.0,211164.0,239454.0,256936.0,262427.0,273173.0,"2,50,050","3,03,506","3,09,272","3,45,238",#E8B856,Rs. Crore,
