slug_name,index_name,2012-13 (A),2013-14 (A),2014-15 (A),2015-16 (A),2016-17 (BE),2016-17 (RE),2016-17 (A),2017-18 (BE),2017-18 (RE),2018-19 (BE),unit,color
budgetary_outlay_for_the_ministry_of_housing_and_urban_poverty_alleviation,Budgetary Outlay for the Ministry Of Housing and Urban Poverty Alleviation,933.0,1084.0,2728.0,1761.0,5411.0,5285.0,,6406.0,,,Rs crore,#6ea63a
budgetary_allocation_for_the_ministry_of_urban_development,Budgetary Allocation for the Ministry of Urban Development,8467.0,9363.0,13254.0,18419.0,24523.0,32550.0,,34212.0,,,Rs crore,#6ea63a
pradhan_mantri_awas_yojana_(urban),Pradhan Mantri Awas Yojana (Urban),1937.0,2256.0,1959.0,1487.0,5075.0,4936.0,,6043.0,,,Rs crore,#6ea63a
national_urban_livelihood_mission,National Urban Livelihood Mission,794.0,725.0,703.0,269.0,325.0,334.0,,349.0,,,Rs crore,#6ea63a
mission_for_development_of_100_smart_cities,Mission for development of 100 smart cities,,,1025.71,1483.7,3216.0,4676.0,,4000.0,,,Rs crore,#6ea63a
atal_mission_for_rejuvenation_for_urban_transformation_(amrut),Atal Mission for Rejuvenation for Urban Transformation (AMRUT),,,1069.0,2701.85,4080.0,4883.5,,5000.0,,,Rs crore,#6ea63a
national_heritage_city_development_and_augmentation_yojana_(hriday),National Heritage City Development and Augmentation Yojana (HRIDAY),,,0.9,27.22,200.0,200.0,,150.0,,,Rs crore,#6ea63a
credit_linked_subsidy_scheme_(clss)-i_for_economically_weaker_section(ews)/_lower_income_group_(lig),Credit Linked Subsidy Scheme (CLSS)-I for Economically Weaker Section(EWS)/ Lower Income Group (LIG),,,,200.1,475.0,475.0,,400.0,,,Rs. Crore,#6ea63a
credit_linked_subsidy_scheme_(clss)-ii_for_middle_income_group_(mig),Credit Linked Subsidy Scheme (CLSS)-II for Middle Income Group (MIG),,,,0.0,0.0,0.0,,1000.0,,,Rs. Crore,#6ea63a
credit_risk_guarantee_fund_trust_(crgft),Credit Risk Guarantee Fund Trust (CRGFT),,,,0.0,15.0,15.0,,15.0,,,Rs. Crore,#6ea63a
"institutional_dev._for_inclusive_urban_governance,_building_material_and_technology_promotion_council_(bmtpc)_and_national_building_organisation_(nbo)","Institutional Dev. For Inclusive Urban Governance, Building Material and Technology Promotion Council (BMTPC) and National Building Organisation (NBO)",,,,17.6,10.1,13.1,,11.8,,,Rs. Crore,#6ea63a
other_items_of_central_component,Other Items of Central Component,,,,45.9,69.9,45.6,,55.0,,,Rs. Crore,#6ea63a
scheme_for_drinking_water_supply_for_slums_affected_with_japanese_encephalitis_and_acute_encephalities_syndrome_(je/aes),Scheme for drinking water supply for slums affected with Japanese Encephalitis and Acute Encephalities Syndrome (JE/AEs),,,,0.0,5.0,0.0,,10.0,,,Rs. Crore,#6ea63a
other_items_of_states/uts_component,Other Items of States/UTs Component,,,,1224.0,4500.0,4387.0,,4551.0,,,Rs. Crore,#6ea63a
total_pmay-_urban,Total PMAY- Urban,,,,1487.0,5075.0,4936.0,,6043.0,,,Rs. Crore,#6ea63a
