slug_name,index_name,2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
ministry_of_culture,1. Ministry of Culture,2297.0,2738.0,2667.0,2843.0,Rs crore,#e4af1b
ministrydept_of_drinking_water_and_sanitation,2. Ministry/Dept. of Drinking Water and Sanitation,16476.0,20011.0,24011.0,22357.0,Rs crore,#e4af1b
ministry_of_health_and_family_welfare_including_ayush,3. Ministry of Health and Family Welfare (including AYUSH),40241.24,50281.16,54852.04,56226.37,Rs crore,#e4af1b
ministry_of_human_resource_development,4. Ministry of Human Resource Development,72016.0,79686.0,81869.0,85010.0,Rs crore,#e4af1b
ministry_of_labour_and_employment,5. Ministry of Labour and Employment,4743.0,7188.0,6581.0,7700.0,Rs crore,#e4af1b
ministry_of_minority_affairs,6. Ministry of Minority Affairs,2832.0,4195.0,4195.0,4700.0,Rs crore,#e4af1b
ministry_of_social_justice_and_empowerment,7. Ministry of Social Justice and Empowerment,6516.0,6908.0,6908.0,7750.0,Rs crore,#e4af1b
ministry_of_tribal_affairs,8. Ministry of Tribal Affairs,4817.0,5329.0,5329.0,6000.0,Rs crore,#e4af1b
dept_of_urban_development,9. Ministry of Housing and Urban Affairs,36946.0,40618.0,40754.0,41765.0,Rs crore,#e4af1b
ministry_of_women_and_child_development,10. Ministry of Women and Child Development,16874.0,22095.0,21237.0,24700.0,Rs crore,#e4af1b
ministry_of_youth_affairs_and_sports,11. Ministry of Youth Affairs and Sports,1574.0,1943.0,1938.0,2196.0,Rs crore,#e4af1b
empowerment_of_persons_with_disabilities,12. Empowerment of Persons with Disabilities,773.0,855.0,955.0,1070.0,Rs crore,#e4af1b
ministry_of_agriculture_cooperation_and_farmers_welfare,"13. Ministry of Agriculture, Cooperation and Farmers Welfare",44500.0,51026.0,50264.0,57600.0,Rs crore,#e4af1b
ministry_of_environment_forest_and_climate_change,"14. Ministry of Environment, Forest and Climate Change ",2278.0,2675.0,2675.0,2675.0,Rs crore,#e4af1b
ministry_of_rural_development,15. Ministry of Rural Development,96728.0,107758.0,110874.0,114915.0,Rs crore,#e4af1b
ministry_of_consumer_affairs_food_and_public_distribution_food_subsidy,"16. Ministry of Consumer Affairs, Food and Public Distribution (Food Subsidy)",122399.0,154232.0,149608.0,175944.0,Rs crore,#e4af1b
total_expenditure_in_select_ministries_1_to_17,Total expenditure in select ministries (1 to 16),472009.0,557540.0,564718.0,613453.0,Rs crore,#e4af1b
ministry_of_road_transport_and_highways,17. Ministry of Road Transport and Highways,52232.0,64900.0,61000.0,71000.0,Rs crore,#e4af1b
defence,18. Defence,351550.0,359854.0,374004.0,404365.0,Rs crore,#e4af1b
total_expenditure_in_select_ministries_1_to_19,Total expenditure in select ministries (1 to 18),875791.0,982294.0,999722.0,1088818.0,Rs crore,#e4af1b
total_union_government_expenditure,Total Union Government Expenditure,1975194.0,2146735.0,2217750.0,2442213.0,Rs crore,#e4af1b
total_expenditure_in_ministries_1_to_17_as_share_of_total_union_govt_expenditure_in_perc,Total expenditure in ministries (1 to 16) as share of total Union Govt. expenditure (in %),24.0,26.0,25.0,25.0,Percentage,#e4af1b
total_expenditure_in_ministries_1_to_19_as_share_of_total_union_govt_expenditure_in_perc,Total expenditure in ministries (1 to 18) as share of total Union Govt. expenditure (in %),44.0,46.0,45.0,45.0,Percentage,#e4af1b
gdp_at_current_market_prices_series,GDP at current market prices (2011-12 series),15075429.0,16847455.0,16784679.0,18722302.0,Rs crore,#e4af1b
total_expenditure_in_select_ministries_1_to_17_as_share_of_gdp_in_perc,Total expenditure in select ministries (1 to 16) as share of GDP (in %),3.0,3.0,3.0,3.0,Percentage,#e4af1b
total_expenditure_in_select_ministries_1_to_19_as_share_of_gdp_in_perc,Total expenditure in select ministries (1 to 18) as share of GDP (in %),6.0,6.0,6.0,6.0,Percentage,#e4af1b
