slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2016-17(AC),2017-18(BE),2017-18(RE),2018-19(BE),unit,color
dept_of_school_education_and_literacy,Dept. of School Education and Literacy,45631.0,46856.0,45722.0,41800.0,43554.0,43896.0,42989.0,46356.0,47006.0,50000.0,Rs crore,#046380
dept_of_higher_education,Dept. of Higher Education,20423.0,24465.0,23152.0,25439.0,28840.0,29703.0,29026.0,33330.0,34862.0,35010.0,Rs crore,#046380
education_-_education_by_ministry_of_human_resource_development(mhrd),Education - Education by Ministry of Human Resource Development(MHRD),66055.0,71321.0,68875.0,67239.0,72394.0,73599.0,72016.0,79686.0,81869.0,85010.0,Rs crore,#046380
union_govt_spending_on_education_as_%_of_gdp,Union Govt. spending on Education as % of GDP,0.66,0.63,0.55,0.49,0.48,0.49,0.47,0.47,0.49,0.45,Percentage of GDP,#046380
union_govt_spending_on_education_as_%_of_union_budget,Union Govt. spending on Education as % of Union budget,4.7,4.6,4.1,3.8,3.7,3.7,3.6,3.7,3.7,3.5,Percentage of Total Union Budget,#046380
nem-sarva_shiksha_abhiyan_(ssa),NEM-Sarva Shiksha Abhiyan (SSA),...,24802.0,24097.0,21661.0,22500.0,22500.0,21685.42,23500.0,23500.0,26128.81,Rs crore,#046380
nem-rastriya_madhyamik_shiksha_abhiyan_(rmsa),NEM-Rastriya Madhyamik Shiksha Abhiyan (RMSA),...,2679.0,3398.0,3563.0,3700.0,3700.0,3698.0,3830.0,3915.0,4213.0,Rs crore,#046380
nem-teacher_training_and_saakshar_bharat,NEM-Teacher Training and Saakshar Bharat,...,1090.0,1158.0,830.0,879.0,751.0,817.0,926.0,841.0,871.0,Rs crore,#046380
strengthening_of_teacher_training_institutions,Strengthening of Teacher Training Institutions,...,508.0,500.0,489.0,480.0,480.0,495.0,480.0,480.0,550.0,Rs crore,#046380
saakshar_bharat,Saakshar Bharat,...,297.0,358.0,344.0,320.0,244.0,213.0,320.0,320.0,320.0,Rs crore,#046380
kendriya_vidyalaya_sangathan,Kendriya Vidyalaya Sangathan,...,2827.0,3243.0,3563.0,3795.0,3987.0,3987.0,4300.0,4601.0,4425.0,Rs crore,#046380
navodaya_vidyalaya_sanghatan,Navodaya Vidyalaya Sanghatan,...,1746.0,2013.0,2285.0,2471.0,2615.0,2620.0,2700.0,3025.0,2793.0,Rs crore,#046380
mid_day_meal_(mdm),Mid Day Meal (MDM),...,10918.0,10523.0,9145.0,9700.0,9700.0,9475.0,10000.0,10000.0,10500.0,Rs crore,#046380
