States,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-9,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-20,2000-2001,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09(RE),2009-10(BE)
Andhra Pradesh,222,244,172,493,591,435,84,568,673,972,967,1125,1569,1833,2349,2417,2812,2428,576,4976,736,6723,7625,745,8192,83,5643,8787,1428,16152
Bihar,336,49,435,328,396,326,461,825,535,994,1595,1617,1331,1339,1342,1571,891,981,2379,618,4884,41,4911,417,1242,37,321,175,7494,3696
Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,161,973,224,1232,425,-33,128,2256,2564
Goa,0,0,0,0,0,0,61,72,64,95,96,125,9,6,45,97,14,125,269,341,413,413,379,445,551,63,487,541,896,1389
Gujarat,247,254,377,398,52,514,9,976,735,952,1798,1876,1174,526,1292,1746,2358,3175,5619,6792,7988,6511,68,9161,8696,627,5649,4771,136,12148
Haryana,112,12,189,134,235,23,17,216,289,393,386,375,444,48,535,986,199,1128,224,2133,2265,274,1471,2933,126,286,-1179,1264,378,8557
Jharkhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,2187,1658,3648,4918,5257,6217,3751,4232
Karnataka,226,118,28,288,563,55,514,518,497,625,559,918,1386,1254,1513,1457,1944,161,3112,4277,4219,587,5281,451,36,3687,4688,5331,9357,8493
Kerala,18,62,123,299,232,323,44,448,412,64,799,83,732,935,119,133,1543,2414,312,4537,3878,3269,4994,5539,4452,4182,3822,61,6315,5681
Madhya Pradesh,337,238,291,366,494,516,561,725,871,723,119,984,876,983,1417,1633,1926,1821,4127,3911,2712,3649,462,7323,6492,4572,2754,2784,5372,6436
Maharashtra,463,489,552,74,151,1234,165,114,1277,1844,1611,1657,2586,2265,2861,4151,4954,6442,7462,1176,8976,1898,1429,17929,1862,1763,11553,-2821,1622,26562
Orissa,134,142,212,192,328,326,372,56,55,574,616,913,74,92,1159,1396,162,183,2916,3746,3325,3964,2816,3573,1366,276,-823,-1323,2561,64
Punjab,16,178,183,262,479,566,343,968,833,99,1242,1151,1252,1493,1785,1365,1465,2478,3779,3195,394,4958,441,488,436,2656,4384,464,6856,966
Rajasthan,27,327,275,298,363,343,467,93,736,581,545,792,1159,147,1763,2574,257,2552,5151,5361,4313,5748,6114,7372,6146,515,397,348,6549,842
Tamil Nadu,21,213,326,364,398,365,454,66,654,919,1126,13,1749,1358,1496,1256,2445,2122,4777,5382,576,4739,6742,5591,557,2251,3956,3686,9248,11823
Uttar Pradesh,551,452,582,182,1494,158,141,114,182,2482,368,2837,3711,3166,4767,4381,5956,7576,11633,1199,118,9898,9497,16648,12998,178,9615,13794,2557,23299
West Bengal,289,38,498,414,34,259,587,551,579,155,1634,1144,113,1672,1965,2696,3397,48,719,11666,192,1184,1569,1287,1653,961,11431,114,12694,22984
Arunachal Pradesh,0,0,0,0,0,0,23,38,1,75,26,-2,-9,16,73,4,7,121,55,59,21,275,214,25,386,256,-16,-16,115,1118
Assam,-27,172,2,327,367,154,243,421,33,528,568,255,28,-18,711,652,74,142,338,166,154,1448,928,1394,257,-356,-711,-79,2177,1864
Himachal Pradesh,-35,57,74,58,8,35,89,129,254,226,279,224,312,152,62,521,572,122,1662,19,1845,1511,2342,2384,181,72,921,552,1864,1592
Jammu and Kashmir,145,136,142,198,248,247,244,417,41,524,661,449,24,88,-23,97,166,444,154,1339,2166,748,1245,-17,18,1588,1461,269,2325,225
Manipur,-7,27,17,26,15,-9,32,17,33,71,4,69,18,-2,62,15,168,188,16,656,234,34,249,286,449,271,475,-12,473,47
Meghalaya,-8,17,15,1,2,-8,5,2,1,31,41,72,93,88,35,52,23,127,147,29,25,221,161,22,313,179,75,214,125,614
Mizoram,0,0,0,0,0,41,-22,12,11,-3,-94,5,6,8,38,71,125,124,132,179,375,422,315,36,234,397,191,392,372,212
Nagaland,-26,2,3,41,-5,-12,3,6,48,141,12,96,138,174,239,231,184,24,243,249,359,366,443,-157,218,36,156,397,721,591
Sikkim,6,5,-2,7,-3,12,1,9,11,3,2,41,34,31,46,4,56,67,147,93,51,67,1,5,186,149,97,64,345,457
Tripura,-9,25,17,35,12,15,15,62,84,89,86,94,23,111,11,34,122,196,118,29,445,538,537,341,24,11,-131,17,756,1277
Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,424,889,147,2171,1878,886,1742,1557,271
NCT Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,232,389,556,69,726,959,1382,161,1733,2396,2439,1483,-245,41,241,4235,289
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,399,331,1115,91
All States,3712,463,4986,6359,82,752,9269,11221,11672,15434,18787,189,2891,2364,2738,387,36561,43474,73295,999,87923,9426,99726,12631,17774,984,7758,75455,146349,19951
